date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nr_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
1993-05-11,110258,17479,641,6,50494,85765,42279,23846,16838,-35271,18433,1886,-35,431,4183
1993-05-18,119126,18550,35,758,53196,90224,46622,28109,18515,-37028,18513,1071,-606,2702,4459
1993-05-25,115551,16297,650,340,56981,88710,41933,25851,15647,-31729,16082,-2253,615,3785,-1514
1993-06-01,110901,9454,1100,1074,63056,80054,37317,28673,8354,-16998,8644,-6843,450,6075,-8656
1993-06-08,108432,10937,1490,320,57090,81052,40085,25570,9447,-23962,14515,1483,390,-5966,998
1993-06-15,102018,8580,1791,303,55640,74027,37495,25897,6789,-18387,11598,-2357,301,-1450,-7025
1993-06-22,98984,8196,4227,640,54794,64424,35354,29693,3969,-9630,5661,-384,2436,-846,-9603
1993-06-29,90645,10677,6602,482,47979,58800,31507,24761,4075,-10821,6746,2481,2375,-6815,-5624
1993-07-06,90204,11220,4784,85,46093,61342,32806,23993,6436,-15249,8813,543,-1818,-1886,2542
1993-07-13,89613,9938,5883,84,48806,57541,30785,26105,4055,-8735,4680,-1282,1099,2713,-3801
1993-07-20,93931,11049,6845,84,48266,58499,34532,28503,4204,-10233,6029,1111,962,-540,958
1993-07-27,93059,9654,8629,57,47938,54532,35410,29841,1025,-6594,5569,-1395,1784,-328,-3967
1993-08-03,94082,10564,7885,398,42590,57201,40530,28598,2679,-14611,11932,910,-744,-5348,2669
1993-08-10,93775,11181,6584,0,45165,58208,37429,28983,4597,-13043,8446,617,-1301,2575,1007
1993-08-17,94689,9291,7050,27,49873,57218,35498,30394,2241,-7345,5104,-1890,466,4708,-990
1993-08-24,97201,8733,7641,27,52315,57091,36126,32442,1092,-4776,3684,-558,591,2442,-127
1993-08-31,97563,9071,7530,27,51155,56772,37310,33234,1541,-5617,4076,338,-111,-1160,-319
1993-09-07,98353,8367,6678,0,50541,58876,39445,32799,1689,-8335,6646,-704,-852,-614,2104
1993-09-14,92405,7046,4486,55,41753,56361,43551,31503,2560,-14608,12048,-1321,-2192,-8788,-2515
1993-09-21,90015,10023,877,0,31048,60404,48944,28734,9146,-29356,20210,2977,-3609,-10705,4043
1993-09-28,81399,11144,883,21,23780,53761,46454,26734,10261,-29981,19720,1121,6,-7268,-6643
1993-10-05,92855,19181,1304,0,25549,66798,48125,24753,17877,-41249,23372,8037,421,1769,13037
1993-10-12,95145,20643,0,0,24677,69421,49825,25724,20643,-44744,24101,1462,-1304,-872,2623
1993-10-19,89744,14124,574,78,30910,63338,44632,25754,13550,-32428,18878,-6519,574,6233,-6083
1993-10-26,91856,13732,574,80,31970,66743,46074,24459,13158,-34773,21615,-392,0,1060,3405
1993-11-02,95447,13769,574,35,34323,68453,47320,26385,13195,-34130,20935,37,0,2353,1710
1993-11-09,99646,15127,2893,58,35717,66818,48744,29877,12234,-31101,18867,1358,2319,1394,-1635
1993-11-16,91100,10989,5227,11,40324,57668,39776,28194,5762,-17344,11582,-4138,2334,4607,-9150
1993-11-23,93621,10198,5527,11,41501,60553,41911,27530,4671,-19052,14381,-791,300,1177,2885
1993-11-30,94283,10803,5557,12,41199,62640,42269,26074,5246,-21441,16195,605,30,-302,2087
1993-12-07,98596,13636,2108,29,39632,71648,45299,24811,11528,-32016,20488,2833,-3449,-1567,9008
1993-12-14,101284,12882,2019,442,41201,72162,46759,26661,10863,-30961,20098,-754,-89,1569,514
1993-12-21,98450,11605,1745,800,43923,68873,42122,27032,9860,-24950,15090,-1277,-274,2722,-3289
1993-12-28,99496,11543,2009,812,44768,72928,42373,23747,9534,-28160,18626,-62,264,845,4055
1994-01-04,104579,14770,1675,755,44410,76124,44644,26025,13095,-31714,18619,3227,-334,-358,3196
1994-01-11,109128,16698,1998,1545,45652,81229,45233,24356,14700,-35577,20877,1928,323,1242,5105
1994-01-18,107320,17199,4040,1438,46092,75418,42591,26424,13159,-29326,16167,501,2042,440,-5811
1994-01-25,110140,15330,8506,520,51370,70540,42920,30574,6824,-19170,12346,-1869,4466,5278,-4878
1994-02-01,109271,14284,8837,1905,51600,69076,41482,29453,5447,-17476,12029,-1046,331,230,-1464
1994-02-08,122449,32163,3122,2245,34506,86009,53535,31073,29041,-51503,22462,17879,-5715,-17094,16933
1994-02-15,130895,33849,1871,1853,32812,95064,62381,32107,31978,-62252,30274,1686,-1251,-1694,9055
1994-02-22,122614,32944,2377,1377,30291,87949,58002,30911,30567,-57658,27091,-905,506,-2521,-7115
1994-03-01,124016,36862,1292,2636,30631,92526,53887,27562,35570,-61895,26325,3918,-1085,340,4577
1994-03-08,130917,38374,1022,5356,33305,95288,53882,29251,37352,-61983,24631,1512,-270,2674,2762
1994-03-15,141424,41530,1644,2051,40815,107622,57028,30107,39886,-66807,26921,3156,622,7510,12334
1994-03-22,144805,43058,2301,1980,41883,107744,57884,32780,40757,-65861,25104,1528,657,1068,122
1994-03-29,138987,38509,2661,1903,40573,101544,58002,32879,35848,-60971,25123,-4549,360,-1310,-6200
1994-04-05,129495,27882,2302,1495,47030,91358,53088,34340,25580,-44328,18748,-10627,-359,6457,-10186
1994-04-12,115359,19124,7916,480,51045,73778,44710,33185,11208,-22733,11525,-8758,5614,4015,-17580
1994-04-19,111500,19224,8201,794,49312,70306,42170,32199,11023,-20994,9971,100,285,-1733,-3472
1994-04-26,106970,21133,2087,673,46007,79802,39157,24408,19046,-33795,14749,1909,-6114,-3305,9496
1994-05-03,103140,20658,2333,317,44375,78953,37790,21537,18325,-34578,16253,-475,246,-1632,-849
1994-05-10,107136,21760,3008,317,42984,82441,42075,21370,18752,-39457,20705,1102,675,-1391,3488
1994-05-17,120371,28242,2779,318,44793,92301,47018,24973,25463,-47508,22045,6482,-229,1809,9860
1994-05-24,125552,30016,3336,1082,45973,98674,48481,22460,26680,-52701,26021,1774,557,1180,6373
1994-05-31,127369,30087,3206,312,49021,98467,47949,25384,26881,-49446,22565,71,-130,3048,-207
1994-06-07,130110,30722,3857,301,47066,98782,52021,27170,26865,-51716,24851,635,651,-1955,315
1994-06-14,136412,35846,2513,1047,48279,109914,51240,22938,33333,-61635,28302,5124,-1344,1213,11132
1994-06-21,128187,33995,1502,10,45856,103944,48326,22731,32493,-58088,25595,-1851,-1011,-2423,-5970
1994-06-28,105897,22672,4818,417,46452,74881,36356,25781,17854,-28429,10575,-11323,3316,596,-29063
1994-07-05,103291,22613,5690,0,49766,74840,30912,22761,16923,-25074,8151,-59,872,3314,-41
1994-07-12,109383,19128,12698,427,58372,69486,31456,26772,6430,-11114,4684,-3485,7008,8606,-5354
1994-07-19,107350,19441,3664,421,55297,80072,32191,23193,15777,-24775,8998,313,-9034,-3075,10586
