date,open,close,high,low,volume,amount
2024-04-02,14820,14615,14830,14575,313483,46041549568
2024-04-03,14650,14510,14740,14475,378297,55207219456
2024-04-08,14505,14850,14985,14335,378234,55898762496
2024-04-09,14860,15140,15185,14835,452481,67876187136
2024-04-10,15130,15070,15190,15005,397163,59939351552
2024-04-11,15050,14915,15055,14750,503422,74913906688
2024-04-12,14900,14695,14910,14560,502887,73965797376
2024-04-15,14725,14710,14825,14625,382729,56350727424
2024-04-16,14700,14515,14710,14470,402049,58604230400
2024-04-17,14505,14560,14600,14400,377860,54814030592
2024-04-18,14560,14590,14640,14430,395983,57615772928
2024-04-19,14595,14565,14720,14450,560228,81676599296
2024-04-22,14550,14415,14700,14400,556062,80951894016
2024-04-23,14385,14280,14465,14260,571148,82101948416
2024-04-24,14260,14215,14325,14135,415846,59132672768
2024-04-25,14200,14045,14240,13955,418820,59013240064
2024-04-26,14075,14195,14200,13965,351587,49493490688
2024-04-29,14195,14215,14295,14150,313544,44587717888
2024-04-30,14220,14045,14265,14030,276280,39099336448
2024-05-06,14005,14150,14195,14000,196644,27795517184
2024-05-07,14150,14285,14390,14150,354120,50648280576
2024-05-08,14270,14255,14430,14235,347774,49818317056
2024-05-09,14245,14240,14255,14110,298223,42303253248
2024-05-10,14250,14130,14305,14120,358289,50905781504
2024-05-13,14115,14405,14410,14070,425872,60686216704
2024-05-14,14480,14310,14585,14295,441463,63860363264
2024-05-15,14310,14430,14455,14295,332458,47814114304
2024-05-16,14440,14710,14780,14390,454984,66313098240
2024-05-17,14700,14685,14735,14620,313069,45977116160
2024-05-20,14685,14865,14930,14575,508377,75133460480
2024-05-21,14815,14725,15045,14715,467836,69586026496
2024-05-22,14760,14835,14885,14750,326543,48365904384
2024-05-23,14860,14865,15080,14720,597475,89191784448
2024-05-24,14925,15025,15200,14915,564489,84856537088
2024-05-27,15020,14965,15120,14875,425122,63737040896
2024-05-28,15000,15175,15565,14995,753492,115063771136
2024-05-29,15250,15445,15455,15145,515546,78763094016
2024-05-30,15500,15670,15830,15455,906122,141681643520
2024-05-31,15700,15350,15750,15175,719371,111196487680
2024-06-03,15395,15145,15430,15030,595198,90567778304
2024-06-04,15160,15005,15195,14850,502467,75272941568
2024-06-05,15000,15050,15130,14945,410421,61690475264
2024-06-06,15080,15560,15570,14975,595751,90642874368
2024-06-07,15595,16020,16070,15565,748574,118560292864
2024-06-11,16000,15535,16110,15500,552781,87145422848
2024-06-12,15535,15805,15830,15370,558809,87169921024
2024-06-13,15850,15485,15920,15210,614052,95488692224
2024-06-14,15480,15235,15480,15205,490911,75269619712
2024-06-17,15100,14885,15180,14865,429411,64491057920
