date,open,close,high,low,volume,amount
2025-08-01,11500,11455,11550,11380,73266,4203948096
2025-08-04,11475,11395,11500,11315,55081,3141148400
2025-08-05,11445,11515,11540,11405,53945,3091773968
2025-08-06,11500,11505,11590,11450,51579,2968683744
2025-08-07,11520,11535,11615,11430,60111,3459040480
2025-08-08,11515,11515,11575,11440,41370,2379569776
2025-08-11,11530,11785,11870,11500,138315,8121060608
2025-08-12,11785,11825,11835,11705,60045,3532515808
2025-08-13,11855,11750,11985,11745,80181,4755093248
2025-08-14,11720,11645,11890,11635,68153,4013878304
2025-08-15,11650,11815,11820,11600,63265,3701276896
2025-08-18,11850,11800,11920,11720,57039,3366030928
2025-08-19,11825,11840,11980,11765,101941,6049730048
2025-08-20,11790,11715,11820,11355,169064,9770249984
2025-08-21,11750,11775,11865,11710,106881,6302983168
2025-08-22,11780,11660,11835,11590,89334,5228021760
2025-08-25,11720,12010,12095,11690,155404,9268687872
2025-08-26,12000,11845,12120,11840,112447,6736292352
2025-08-27,11830,11710,11945,11670,94999,5634071808
2025-08-28,11735,11980,12060,11700,132297,7867688192
2025-08-29,11970,11900,11985,11805,87677,5198829312
2025-09-01,11920,11895,12040,11765,113113,6712846592
2025-09-02,11915,11820,12000,11780,103125,6134355200
2025-09-03,11825,11885,12005,11810,105069,6255139072
2025-09-04,11885,11810,11920,11695,130504,7701463040
2025-09-05,11810,12210,12255,11685,137317,8216811776
2025-09-08,12185,12030,12210,11930,99163,5963027968
2025-09-09,12020,11690,12025,11630,118120,6981091328
2025-09-10,11705,11720,11785,11660,64219,3764716224
2025-09-11,11720,11655,11770,11550,62200,3628363632
2025-09-12,11650,11615,11660,11465,52955,3065252096
2025-09-15,11655,11705,11705,11545,36582,2127470832
2025-09-16,11665,11675,11725,11600,74764,4363596032
2025-09-17,11695,11590,11725,11545,73189,4253787968
2025-09-18,11570,11415,11590,11355,116114,6652222720
2025-09-19,11475,11445,11540,11415,94561,5424084992
2025-09-22,11450,11505,11555,11405,95866,5510102016
2025-09-23,11470,11430,11595,11385,109780,6302995200
2025-09-24,11430,11520,11650,11420,113405,6548029952
2025-09-25,11530,11545,11620,11510,83685,4835619840
2025-09-26,11505,11430,11520,11225,191754,10895700992
2025-09-29,11435,11340,11450,11175,158160,8927732224
2025-09-30,11325,11100,11335,11100,110443,6173517824
2025-10-09,11145,11325,11335,11120,74867,4215728128
2025-10-10,11320,11220,11330,11180,71527,4021813168
2025-10-13,11150,10920,11180,10790,113246,6194341888
2025-10-14,10860,10780,10930,10715,65011,3519892944
2025-10-15,10765,10895,10915,10730,60255,3255559456
2025-10-16,10905,11135,11155,10865,76904,4232009808
2025-10-17,11070,10925,11140,10885,57027,3147276832
2025-10-20,10850,10840,10955,10800,101950,5547449344
2025-10-21,10850,11040,11120,10790,123691,6778009344
2025-10-22,11035,11050,11065,10970,79454,4377517824
2025-10-23,11015,11120,11180,11010,99398,5520492288
2025-10-24,11150,11120,11240,11070,100660,5614757120
2025-10-27,11100,10995,11155,10895,131980,7290702592
2025-10-28,11040,10805,11040,10770,112436,6112278272
