symbol,event_date,group,close,ema10,ema20,diff_cur,dea_cur,hist_cur,weeks_since_cross,diff_drawdown,spy_pre8,fwd5,exc5,fwd10,exc10,fwd20,exc20,fwd60,exc60,broken5,broken10,broken20,broken60
mmm,2004-05-21,C,37.00133895874024,37.01526839948024,36.32359406382912,0.9971349780423182,1.0110434528909438,-0.013908474848625563,999.0,0.48473753762992744,-1.0988187021536922,6.922301243164841,2.8738910648343996,-0.6753110077148072,-1.9817500299116109,-3.9745438998548432,-7.235355382606079,-7.21915642775397,-21.73564285729157,0,0,1,1
mmm,2010-11-12,C,45.06271743774414,45.131578696254955,44.45608334832306,0.9450345381268974,0.9729469368290988,-0.027912398702201413,999.0,0.25407909597043654,6.853889084161735,0.7787828260258145,-3.1760854720644716,4.185975678665765,-3.172695324190622,9.320091110403595,-2.5199539676340024,-0.1958618025126868,-9.243332514575487,0,0,0,1
mmm,2025-03-28,C,141.4874267578125,142.93152375959787,138.0308433265137,7.05594712765901,7.41298471910902,-0.3570375914500099,53.0,0.37874008003685766,-7.392317139616933,-1.9055445553096684,-3.9031666432919776,0.947671183238219,-6.877261115107092,5.7279358793510315,-10.411824484861155,7.741024015046616,-27.987248855369874,1,1,1,1
ms,2007-06-29,C,45.66313171386719,46.142771264651756,45.201319348881384,1.3677248951611247,1.4386373088981643,-0.0709124137370396,999.0,0.41007917850136,0.1048863216731366,-12.604922042158284,-8.197558664525372,-9.894584236539805,-6.996251676251463,-23.435546730763,-20.810856994630864,-42.63605488777406,-30.559349165613263,1,1,1,1
vrtx,2018-03-29,C,162.97999572753906,164.60020913771498,160.09342174145027,6.448162349973529,6.6067351098489855,-0.15857275987545627,55.0,0.47057975521149664,-4.082804512314386,-8.33844440676611,-9.429071502873477,-7.626698368897388,-13.342043802123415,8.037800004250517,-0.7746332393770103,5.3933051756956285,-4.151063421843636,1,1,1,1
vrtx,2022-08-26,C,281.67999267578125,285.2374870251889,275.96608323717413,13.282758431503964,14.08928619747462,-0.8065277659706549,35.0,0.26975180086443284,6.31360596068824,2.7904061607199937,14.303252340020812,9.635052312599335,16.39875908988091,6.837549796372522,7.660513246396206,28.464922877241715,22.477410424406006,0,0,0,0
vrtx,2022-12-16,C,304.79998779296875,307.30562043685916,299.3954802128288,11.334330865991774,11.72449185427504,-0.3901609882832666,51.0,0.2760398727677067,2.869415583837087,1.6535461767620552,-1.636575721487743,-5.718501763071049,-9.139087364981124,14.202759277774657,6.131455330237934,38.75000675832221,5.993033149846227,1,1,1,1
vrtx,2023-10-27,C,355.2799987792969,355.2975328274464,349.493751045618,8.469027372903497,8.784736147003006,-0.3157087740995088,999.0,0.346496435022129,-8.657420737114595,-1.1596473573923016,-12.949861003598818,17.23147979932682,2.8316496949506202,14.75174618390691,-10.281748326344587,11.818844398403506,-34.56286842526499,0,0,0,0
dhr,1991-05-10,A,0.4689619541168213,0.47380266226905887,0.4621002268735692,0.01535374510770715,0.016231662899632064,-0.0008779177919249134,13.0,0.30770364154187724,,11.688364178591538,,20.77929291208962,,3.896089618087517,,23.37655041843567,,1,1,1,1
dhr,2015-12-31,C,38.00762939453125,38.07902839781196,37.4970720754117,0.8081944945920725,0.8550599751646535,-0.046865480572581,999.0,0.2853390527435423,-2.3598948422495103,-8.440973186856947,-0.632078438567051,-2.444027543812033,-1.899582655473575,6.499601745255057,5.185089518194386,91.39406423784801,72.77738891524803,1,1,1,1
dhr,2018-03-02,C,81.83749389648438,82.78630816732283,80.91923953388063,2.6365684552356186,2.8347958078924753,-0.19822735265685676,26.0,0.25385525269641873,-1.587320758785371,0.6228252669717271,3.714761659533228,5.983981509898184,4.176805203256895,5.6148245987266865,0.7905762490689305,37.120117420201204,25.517499712967417,0,0,0,0
axp,1999-02-12,B,20.27106475830078,20.3197349820135,19.951740657860658,0.4358257284396707,0.3803084043840137,0.055517324055657014,11.0,0.2554053215917971,4.32491645765285,23.20206784497674,18.04364348069354,35.70729466546278,25.582374714595744,38.20787897788796,24.82769564409504,40.083503044258315,15.953446609432937,0,0,0,0
axp,1999-09-24,C,27.761749267578125,27.910210795653164,27.023589319340292,1.2644705535782634,1.3188349096649974,-0.054364356086733956,43.0,0.34684240513251996,-3.4954235640832443,13.104878602435765,5.86416495856119,15.491792871692445,2.894011269036744,12.905492158378017,4.0774095926078715,24.273164581173766,16.254956124053408,0,0,0,1
axp,2007-07-06,C,45.990997314453125,46.272149113829485,45.51531814369753,1.0553268770620505,1.12330039376237,-0.06797351670031948,46.0,0.2574692587839349,1.842334496655762,-1.1867855581131903,4.219158492291674,-4.178135117147397,-1.511140105130071,-9.335080917272553,-3.9969960061464462,-34.569788783656364,-20.4540057450606,1,1,1,1
axp,2017-09-08,C,74.68970489501953,74.89103554902435,73.29855214235292,2.269672014421488,2.3720642985732847,-0.1023922841517968,46.0,0.2774597502551438,0.41535388766091863,10.645126131683513,6.737533067892598,11.634070769476867,6.540493805265601,19.13057041721993,1.7348464128206444,25.372418378486273,12.537646225651123,0,0,0,0
axp,2018-12-07,C,96.32193756103516,96.61827869640068,95.11842485772748,2.1064434348815695,2.1291312188291895,-0.022687783947620055,999.0,0.28093414390940197,-4.486322142340049,-7.24283647768903,-6.075180083965904,1.068165035248403,-4.782172142841867,11.079231078321783,-1.3855495816332386,23.951246678345516,-1.1527441492803945,1,1,1,1
axp,2022-04-14,C,171.81649780273438,172.90379342647202,169.39881952632888,4.862520868124562,4.884930006205513,-0.022409138080950797,999.0,0.35478512769027004,1.1330654455709244,-15.411797659110881,-4.411081331335431,-19.325452218022367,-8.812442918316778,-17.006765264384207,-6.989254783686839,-3.8068444106419075,-3.668335171535031,1,1,1,1
axp,2024-09-06,C,238.88461303710932,239.16160453726383,232.11252133756687,10.327138790215685,10.770689450839814,-0.44355066062412973,40.0,0.36325146959569243,-3.5054288340408246,13.448170622262733,5.861043256958375,17.847890542531218,9.115433868167287,32.31875332070908,19.081755578784083,49.78640790590325,21.636703164616392,0,0,0,0
ibm,2018-02-23,B,103.7771224975586,103.9658857467634,102.69777825651546,1.5200800473352842,1.4610193216066314,0.05906072572865284,12.0,0.3511599168515427,2.9416009731130455,-1.343885489743446,2.4805263166090885,-7.465258568879108,-4.6897637872071245,-5.144286525599573,-7.787179831838098,-5.517209437391923,-13.569582401470825,1,1,1,1
trow,1992-09-18,B,1.0617464780807495,1.062940974060534,1.0501144294760774,0.017481273197171188,0.016986067482534204,0.0004952057146369836,10.0,0.6743272042193256,,-1.4255311385128366,,10.021843413433329,,23.34351869265121,,63.120840502662354,,1,1,1,1
