market,type,date,dnet,dlong,dshort,share_long,cluster_len,retention_4w,pre4,pre8,net_after,fwd1,fwd2,fwd4,fwd8,fwd12
小麦 三合约合计,short_cover,2025-05-27,104885,-21673,-126558,-0.2066,5,12.3086,-0.0154,-0.0169,-196341,0.036,0.0156,-0.0124,-0.0156,-0.0668
小麦 三合约合计,short_cover,2025-10-28,102581,-47494,-150075,-0.463,4,1.9725,0.051,0.0091,-114937,-0.0039,-0.0017,-0.0129,-0.0631,-0.0082
小麦 三合约合计,short_cover,2026-01-27,108197,27655,-80542,0.2556,5,6.717,0.0229,0.0018,-103710,0.0197,0.0776,0.1417,0.1057,0.1601
小麦 三合约合计,short_cover,2026-04-14,-2702,-23333,-20631,nan,1,-7.9604,0.0043,0.0272,4396,0.0316,0.0059,0.048,-0.0207,0.0909
小麦 三合约合计,short_cover,2026-07-14,73635,6853,-66782,0.0931,2,1.4856,0.1496,0.0921,-28210,-0.0591,-0.0588,0.0094,,
小麦 SRW (CBOT),net_surge,2016-01-12,40141,3458,-36683,0.0861,3,0.5753,0.0068,-0.0033,-88765,0.0029,-0.0083,-0.0132,-0.0157,-0.0197
小麦 SRW (CBOT),net_surge,2016-03-15,20688,-4824,-25512,-0.2332,1,-0.5881,0.0094,-0.0192,-89999,0.0098,-0.003,0.0014,-0.0034,0.01
小麦 SRW (CBOT),net_surge,2016-04-19,47834,4890,-42944,0.1022,2,2.3157,0.0059,0.0169,-103073,-0.022,-0.0123,-0.0067,-0.0323,-0.0677
小麦 SRW (CBOT),net_surge,2016-06-07,35740,12260,-23480,0.343,1,-0.1411,0.0135,0.0086,-52875,-0.0268,-0.0593,-0.0627,-0.0658,-0.0994
小麦 SRW (CBOT),net_surge,2016-10-11,48828,9848,-38980,0.2017,2,1.6855,0.0105,0.008,-107570,-0.0052,-0.001,-0.0096,-0.0228,-0.0074
小麦 SRW (CBOT),net_surge,2016-11-22,63768,24790,-38978,0.3888,8,1.2826,-0.0285,-0.0098,-94595,0.0089,0.0069,0.0046,0.0166,0.0293
小麦 SRW (CBOT),net_surge,2017-02-14,51355,14504,-36851,0.2824,2,-0.656,0.0125,0.0246,-14365,0.0047,-0.0069,-0.0223,-0.0399,-0.0248
小麦 SRW (CBOT),net_surge,2017-05-02,39072,1124,-37948,0.0288,1,1.17,-0.0096,-0.0168,-104219,0.0031,0.0056,0.013,0.084,0.0059
小麦 SRW (CBOT),net_surge,2017-06-13,128296,24785,-103511,0.1932,5,7.2198,0.018,0.0252,-74046,0.0525,0.059,0.0281,-0.056,-0.0515
小麦 SRW (CBOT),net_surge,2018-01-30,110522,2695,-107827,0.0244,6,1.6448,0.0317,0.034,-65114,0.0104,0.0021,0.0302,0.0107,0.0489
小麦 SRW (CBOT),net_surge,2018-04-10,56988,18645,-38343,0.3272,5,2.8233,0.0013,-0.0029,-20425,0.0222,0.0497,0.0433,0.0235,0.0056
小麦 SRW (CBOT),net_surge,2018-07-31,30741,19930,-10811,0.6483,1,0.8433,0.0526,0.0342,51639,0.0136,-0.0311,-0.0533,-0.0432,-0.0578
小麦 SRW (CBOT),net_surge,2018-11-13,15990,-220,-16210,-0.0138,1,1.0835,-0.0073,-0.0134,-13129,0.0098,0.0274,0.0076,0.0111,-0.0043
小麦 SRW (CBOT),net_surge,2018-12-18,17485,9123,-8362,0.5218,1,0.6368,-0.0046,-0.0062,5692,0.0051,0.0092,0.0105,-0.0264,-0.0534
小麦 SRW (CBOT),net_surge,2019-05-21,92606,5927,-86679,0.064,5,2.6654,0.0794,0.0383,-21613,-0.0014,0.038,0.0197,-0.0131,-0.0407
小麦 SRW (CBOT),net_surge,2019-10-22,23721,10257,-13464,0.4324,1,0.3891,0.0269,0.0606,19397,-0.0055,-0.0131,0.0262,0.0432,0.0588
小麦 SRW (CBOT),net_surge,2020-02-18,18030,10457,-7573,0.58,1,-2.1578,-0.0196,-0.005,60302,-0.029,-0.0411,-0.0134,-0.0192,-0.0566
小麦 SRW (CBOT),net_surge,2020-03-24,40844,18644,-22200,0.4565,2,1.076,0.0415,-0.0081,26341,0.0071,-0.0179,-0.0388,-0.0324,-0.0859
小麦 SRW (CBOT),net_surge,2020-07-14,39141,12120,-27021,0.3096,1,0.7052,0.0744,0.015,11138,-0.0102,-0.0475,-0.0166,0.0293,0.0821
小麦 SRW (CBOT),net_surge,2020-09-01,31812,19159,-12653,0.6023,1,0.269,0.0365,-0.0024,47050,0.0376,0.0016,0.0539,0.0641,0.0281
小麦 SRW (CBOT),net_surge,2020-10-06,22640,13743,-8897,0.607,1,1.3543,0.0514,0.1005,46432,0.0079,-0.0278,-0.0335,-0.0179,0.0032
小麦 SRW (CBOT),net_surge,2021-04-20,16632,9784,-6848,0.5883,1,1.1295,0.1273,0.0763,26072,0.0257,-0.0245,-0.0645,-0.0913,-0.0534
小麦 SRW (CBOT),net_surge,2021-07-20,23154,6424,-16730,0.2774,1,1.8639,0.0515,0.0148,20471,0.0162,0.0546,0.0141,0.0052,0.0382
小麦 SRW (CBOT),net_surge,2022-02-22,17837,9599,-8238,0.5382,1,2.2876,0.0586,0.0749,-3554,0.2931,0.2075,0.2014,0.1725,0.2539
小麦 SRW (CBOT),net_surge,2023-06-20,70799,-8251,-79050,-0.1165,6,2.2623,0.1319,0.1109,-72546,-0.0983,-0.093,-0.0476,-0.1312,-0.1677
小麦 SRW (CBOT),net_surge,2023-12-05,55132,-8158,-63290,-0.148,2,2.2122,0.0681,0.0225,-73249,-0.0159,-0.0009,-0.0396,-0.0387,-0.1086
小麦 SRW (CBOT),net_surge,2024-04-23,41382,24,-41358,0.0006,2,2.8754,0.0529,0.0961,-51210,0.0481,0.034,0.0705,-0.0815,-0.147
小麦 SRW (CBOT),net_surge,2025-02-04,19525,-5442,-24967,-0.2787,1,0.5131,0.0933,0.1042,-84976,-0.0146,-0.0826,-0.0805,-0.084,-0.1499
小麦 SRW (CBOT),net_surge,2025-05-20,19289,1194,-18095,0.0619,1,1.999,-0.0154,-0.0169,-108398,0.036,0.0156,-0.0124,-0.0156,-0.0668
小麦 SRW (CBOT),net_surge,2025-06-24,18122,220,-17902,0.0121,1,1.626,-0.0228,0.0327,-71006,-0.0178,-0.0154,-0.0632,-0.0684,-0.0917
小麦 SRW (CBOT),net_surge,2025-08-26,17843,3540,-14303,0.1984,1,0.6901,-0.0283,-0.0753,-79908,0.0048,0.0057,-0.0074,0.0257,0.0057
小麦 SRW (CBOT),net_surge,2025-10-28,32883,3658,-29225,0.1112,1,1.5504,0.051,0.0091,-54247,-0.0039,-0.0017,-0.0129,-0.0631,-0.0082
小麦 SRW (CBOT),net_surge,2026-02-17,58440,10536,-47904,0.1803,2,2.8638,0.0786,0.0979,-57572,0.0159,0.0594,0.0228,0.0138,0.0749
小麦 SRW (CBOT),net_surge,2026-04-28,23181,12207,-10974,0.5266,1,0.5574,0.0701,-0.0015,-1546,0.024,0.0419,-0.0617,-0.0465,0.012
小麦 SRW (CBOT),net_surge,2026-07-14,30884,5829,-25055,0.1887,1,0.8309,0.1496,0.0921,-25958,-0.0591,-0.0588,0.0094,,
小麦 SRW (CBOT),net_surge,2026-09-01,32826,23136,-9690,0.7048,1,nan,,,21085,,,,,
小麦 SRW (CBOT),long_surge,2016-06-07,35740,12260,-23480,0.343,1,-0.1411,0.0135,0.0086,-52875,-0.0268,-0.0593,-0.0627,-0.0658,-0.0994
小麦 SRW (CBOT),long_surge,2016-10-18,30827,9043,-21784,0.2933,1,-0.1927,0.007,0.0098,-76742,0.0042,-0.0057,-0.0102,-0.0351,-0.0005
小麦 SRW (CBOT),long_surge,2016-11-22,63768,24790,-38978,0.3888,8,1.2826,-0.0285,-0.0098,-94595,0.0089,0.0069,0.0046,0.0166,0.0293
小麦 SRW (CBOT),long_surge,2017-02-14,34881,10716,-24165,0.3072,1,-0.656,0.0125,0.0246,-14365,0.0047,-0.0069,-0.0223,-0.0399,-0.0248
小麦 SRW (CBOT),long_surge,2017-06-20,86876,19134,-67742,0.2202,3,2.1294,0.0821,0.0671,-24385,0.0061,-0.0123,-0.0418,-0.1111,-0.0974
小麦 SRW (CBOT),long_surge,2018-05-01,55680,22624,-33056,0.4063,5,2.2596,0.0074,0.0135,-3775,0.0217,0.0492,0.027,0.0024,0.0495
小麦 SRW (CBOT),long_surge,2018-07-31,42321,33437,-8884,0.7901,2,0.8433,0.0526,0.0342,51639,0.0136,-0.0311,-0.0533,-0.0432,-0.0578
小麦 SRW (CBOT),long_surge,2018-12-18,17485,9123,-8362,0.5218,1,0.6368,-0.0046,-0.0062,5692,0.0051,0.0092,0.0105,-0.0264,-0.0534
小麦 SRW (CBOT),long_surge,2019-06-18,24464,11688,-12776,0.4778,1,0.8264,0.0197,0.1006,36250,-0.0102,-0.0029,-0.0322,-0.0593,-0.051
小麦 SRW (CBOT),long_surge,2019-10-22,23721,10257,-13464,0.4324,1,0.3891,0.0269,0.0606,19397,-0.0055,-0.0131,0.0262,0.0432,0.0588
小麦 SRW (CBOT),long_surge,2019-12-03,42188,66352,24164,1.5728,12,1.5791,0.0299,-0.0008,25998,0.0105,0.0264,0.0333,0.0282,-0.0207
小麦 SRW (CBOT),long_surge,2020-03-31,17869,17887,18,1.001,1,-0.5572,0.0588,0.0168,44211,-0.0249,-0.0277,-0.0377,-0.0458,-0.0754
小麦 SRW (CBOT),long_surge,2020-06-02,4745,8458,3713,1.7825,1,-3.4239,0.0017,-0.0365,-8798,-0.0231,-0.034,0.0323,-0.0114,0.0396
小麦 SRW (CBOT),long_surge,2020-07-14,39141,12120,-27021,0.3096,1,0.7052,0.0744,0.015,11138,-0.0102,-0.0475,-0.0166,0.0293,0.0821
小麦 SRW (CBOT),long_surge,2020-09-01,31812,19159,-12653,0.6023,1,0.269,0.0365,-0.0024,47050,0.0376,0.0016,0.0539,0.0641,0.0281
小麦 SRW (CBOT),long_surge,2020-10-06,35575,29180,-6395,0.8202,3,1.3543,0.0514,0.1005,46432,0.0079,-0.0278,-0.0335,-0.0179,0.0032
小麦 SRW (CBOT),long_surge,2021-01-05,9579,12190,2611,1.2726,1,0.6803,0.068,0.0777,39896,-0.0379,-0.0117,-0.0353,-0.0398,-0.0389
小麦 SRW (CBOT),long_surge,2021-04-20,16632,9784,-6848,0.5883,1,1.1295,0.1273,0.0763,26072,0.0257,-0.0245,-0.0645,-0.0913,-0.0534
小麦 SRW (CBOT),long_surge,2021-08-03,15339,23657,8318,1.5423,3,-0.155,0.0644,0.0947,37356,-0.0414,-0.0385,-0.0776,-0.038,-0.0071
小麦 SRW (CBOT),long_surge,2021-10-05,9655,9404,-251,0.974,1,1.6448,0.0249,0.0039,3175,0.0229,0.0365,0.0772,0.0367,0.0152
小麦 SRW (CBOT),long_surge,2021-11-16,13323,10283,-3040,0.7718,1,-0.5955,0.0548,0.0694,23701,-0.0338,-0.0518,-0.0251,-0.0562,-0.0433
小麦 SRW (CBOT),long_surge,2022-01-25,19376,20087,711,1.0367,6,0.6093,0.0043,-0.0165,797,0.0299,0.0258,0.3962,0.1917,0.2492
小麦 SRW (CBOT),long_surge,2022-05-17,5343,9889,4546,1.8508,1,-1.0457,0.074,0.1259,31425,-0.0784,-0.0572,-0.1579,-0.2805,-0.2817
小麦 SRW (CBOT),long_surge,2023-03-07,-8403,7995,16398,nan,1,-0.3338,-0.064,-0.0421,-77322,-0.0198,-0.0177,-0.0249,-0.0851,-0.0894
小麦 SRW (CBOT),long_surge,2023-04-11,-7098,8590,15688,nan,1,4.1102,-0.0257,-0.0549,-73212,-0.0439,-0.0167,-0.0748,0.0151,-0.0277
小麦 SRW (CBOT),long_surge,2023-11-07,13352,13545,193,1.0145,1,0.7042,-0.0427,-0.037,-69300,0.002,0.0319,0.0681,0.0257,0.0267
小麦 SRW (CBOT),long_surge,2024-01-30,7789,10584,2795,1.3588,1,1.3895,0.001,-0.0387,-39627,-0.046,-0.033,-0.0727,-0.0346,0.0165
