family,rank_type,rank,date,chg,level_after,prev_level,net_after
三合约合计 (SRW+HRW+HRS),净多增加,17,2026-09-01,50125,74288,24163,74288
三合约合计 (SRW+HRW+HRS),净多增加,18,2025-10-28,49781,-114937,-164718,-114937
三合约合计 (SRW+HRW+HRS),净多增加,19,2012-06-26,49587,59271,9684,59271
三合约合计 (SRW+HRW+HRS),净多增加,20,2016-06-07,48059,-64458,-112517,-64458
黑海金融小麦 (CBOT),多头增仓,1,2021-10-19,3578,5285,1707,4847
黑海金融小麦 (CBOT),多头增仓,2,2021-05-18,3493,15228,11735,14012
黑海金融小麦 (CBOT),多头增仓,3,2020-03-24,2976,9330,6355,9030
黑海金融小麦 (CBOT),多头增仓,4,2020-09-01,2881,16485,13605,15422
黑海金融小麦 (CBOT),多头增仓,5,2021-02-16,2350,6127,3777,2051
黑海金融小麦 (CBOT),多头增仓,6,2021-04-20,2280,11559,9279,10988
黑海金融小麦 (CBOT),多头增仓,7,2019-06-04,2270,7904,5634,7555
黑海金融小麦 (CBOT),多头增仓,8,2019-02-26,2236,3726,1490,3055
黑海金融小麦 (CBOT),多头增仓,9,2021-04-13,2043,9279,7236,8681
黑海金融小麦 (CBOT),多头增仓,10,2020-04-21,1865,13911,12047,13911
黑海金融小麦 (CBOT),多头增仓,11,2018-05-22,1810,7060,5250,6460
黑海金融小麦 (CBOT),多头增仓,12,2019-06-25,1810,9297,7487,9258
黑海金融小麦 (CBOT),多头增仓,13,2020-07-14,1513,16818,15305,16739
黑海金融小麦 (CBOT),多头增仓,14,2020-07-07,1436,15305,13869,15287
黑海金融小麦 (CBOT),多头增仓,15,2021-05-04,1381,13080,11699,12192
黑海金融小麦 (CBOT),多头增仓,16,2021-10-26,1258,6544,5285,6544
黑海金融小麦 (CBOT),多头增仓,17,2018-10-30,1221,5285,4064,3605
黑海金融小麦 (CBOT),多头增仓,18,2020-03-31,1121,10451,9330,10451
黑海金融小麦 (CBOT),多头增仓,19,2021-11-09,1119,8735,7616,8435
黑海金融小麦 (CBOT),多头增仓,20,2021-11-02,1072,7616,6544,7616
黑海金融小麦 (CBOT),空头砍仓,1,2021-04-13,-2409,598,3007,8681
黑海金融小麦 (CBOT),空头砍仓,2,2021-10-12,-2195,252,2447,1455
黑海金融小麦 (CBOT),空头砍仓,3,2021-03-30,-1404,3942,5346,3235
黑海金融小麦 (CBOT),空头砍仓,4,2019-11-19,-1400,300,1700,5809
黑海金融小麦 (CBOT),空头砍仓,5,2018-08-21,-1100,500,1600,2234
黑海金融小麦 (CBOT),空头砍仓,6,2021-04-06,-935,3007,3942,4229
黑海金融小麦 (CBOT),空头砍仓,7,2020-09-08,-833,229,1063,15345
黑海金融小麦 (CBOT),空头砍仓,8,2021-08-03,-727,657,1384,8925
黑海金融小麦 (CBOT),空头砍仓,9,2021-10-05,-523,2447,2970,-537
黑海金融小麦 (CBOT),空头砍仓,10,2018-11-13,-485,1335,1820,3879
黑海金融小麦 (CBOT),空头砍仓,11,2020-07-28,-475,0,475,17742
黑海金融小麦 (CBOT),空头砍仓,12,2022-01-18,-462,2700,3162,4045
黑海金融小麦 (CBOT),空头砍仓,13,2019-03-19,-460,739,1199,4955
黑海金融小麦 (CBOT),空头砍仓,14,2019-06-18,-440,150,590,7337
黑海金融小麦 (CBOT),空头砍仓,15,2021-10-26,-438,0,438,6544
黑海金融小麦 (CBOT),空头砍仓,16,2018-12-04,-425,500,925,6180
黑海金融小麦 (CBOT),空头砍仓,17,2020-11-10,-390,420,810,12598
黑海金融小麦 (CBOT),空头砍仓,18,2019-04-16,-384,542,925,5477
黑海金融小麦 (CBOT),空头砍仓,19,2018-06-12,-380,0,380,8870
黑海金融小麦 (CBOT),空头砍仓,20,2021-05-11,-374,514,888,11221
黑海金融小麦 (CBOT),净多增加,1,2021-04-13,4452,8681,4229,8681
黑海金融小麦 (CBOT),净多增加,2,2021-10-19,3392,4847,1455,4847
黑海金融小麦 (CBOT),净多增加,3,2020-09-01,2843,15422,12579,15422
黑海金融小麦 (CBOT),净多增加,4,2021-05-18,2791,14012,11221,14012
黑海金融小麦 (CBOT),净多增加,5,2020-03-24,2775,9030,6255,9030
黑海金融小麦 (CBOT),净多增加,6,2021-04-20,2307,10988,8681,10988
黑海金融小麦 (CBOT),净多增加,7,2019-06-04,2247,7555,5308,7555
黑海金融小麦 (CBOT),净多增加,8,2019-02-26,2046,3055,1009,3055
黑海金融小麦 (CBOT),净多增加,9,2021-10-12,1992,1455,-537,1455
黑海金融小麦 (CBOT),净多增加,10,2019-06-25,1921,9258,7337,9258
黑海金融小麦 (CBOT),净多增加,11,2018-05-22,1910,6460,4550,6460
黑海金融小麦 (CBOT),净多增加,12,2020-04-21,1864,13911,12047,13911
黑海金融小麦 (CBOT),净多增加,13,2021-10-26,1697,6544,4847,6544
黑海金融小麦 (CBOT),净多增加,14,2019-03-19,1529,4955,3426,4955
黑海金融小麦 (CBOT),净多增加,15,2020-07-14,1452,16739,15287,16739
黑海金融小麦 (CBOT),净多增加,16,2019-06-18,1431,7337,5906,7337
黑海金融小麦 (CBOT),净多增加,17,2020-03-31,1421,10451,9030,10451
