date,open,high,low,close,volume,position
2019-10-25,518.000,522.000,514.500,516.000,0,0
2019-10-28,513.000,518.500,510.000,513.000,0,0
2019-10-29,512.750,516.000,508.250,511.250,0,0
2019-10-30,507.750,514.000,507.000,509.750,0,0
2019-10-31,506.250,512.250,501.000,508.500,0,0
2019-11-01,508.000,516.500,506.750,514.750,0,0
2019-11-04,511.000,515.250,508.000,510.000,0,0
2019-11-05,510.500,515.750,509.000,515.500,0,0
2019-11-06,518.250,521.750,513.500,516.750,0,0
2019-11-07,518.500,519.750,511.000,512.250,0,0
2019-11-08,510.750,517.750,505.500,510.000,0,0
2019-11-11,505.750,510.500,503.750,506.250,0,0
2019-11-12,507.500,517.250,505.250,516.500,0,0
2019-11-13,512.750,516.500,506.500,508.750,0,0
2019-11-14,509.750,512.000,505.500,507.250,0,0
2019-11-15,505.750,508.500,501.500,502.500,0,0
2019-11-18,503.750,513.500,501.750,510.250,0,0
2019-11-19,510.750,518.750,509.250,514.500,0,0
2019-11-20,512.500,519.000,511.500,518.000,0,0
2019-11-21,520.000,522.750,513.500,514.500,0,0
2019-11-22,515.000,522.000,511.250,517.500,0,0
2019-11-25,526.000,534.750,518.750,532.000,0,0
2019-11-26,528.500,532.750,525.750,530.750,0,0
2019-11-27,533.000,533.250,526.000,526.250,0,0
2019-11-29,530.000,546.000,528.500,542.000,0,0
2019-12-02,541.750,544.000,534.250,537.000,0,0
2019-12-03,537.250,541.250,524.250,525.250,0,0
2019-12-04,527.250,529.750,522.250,527.750,0,0
2019-12-05,527.750,530.000,522.750,523.750,0,0
2019-12-06,525.500,526.750,519.250,523.500,0,0
2019-12-09,524.000,526.000,520.250,522.750,0,0
2019-12-10,520.500,528.000,520.500,523.000,0,0
2019-12-11,520.750,523.500,516.750,518.500,0,0
2019-12-12,519.250,534.250,516.250,530.000,0,0
2019-12-13,531.250,536.250,525.750,532.500,0,0
2019-12-16,540.000,556.750,534.750,549.250,0,0
2019-12-17,547.250,557.250,545.000,554.000,0,0
2019-12-18,548.250,555.000,545.250,547.750,0,0
2019-12-19,552.500,553.500,544.000,545.500,0,0
