slice_id,start,end,sector,区间涨跌pct,标签,稳健,标签th3,标签th8,EP05,EP06,全局ER,上行ER,下行ER,n_up,n_dn,corr60均值,corr60最低,HV20
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLE,-1.744,跟随震荡,,中性/混合,跟随震荡,3,1,0.012,0.524,0.181,1,2,0.635,0.382,19.178
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLF,-2.29,高波动跟随,,高波动跟随,高波动跟随,9,6,0.018,0.407,0.647,4,3,0.793,0.485,17.206
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLI,1.687,中性/混合,,中性/混合,跟随震荡,6,5,0.013,0.603,0.569,4,3,0.859,0.662,16.307
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLK,10.084,高波动跟随,,高波动跟随,高波动跟随,3,1,0.068,0.385,0.535,3,2,0.906,0.743,17.623
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLP,-3.966,跟随震荡,,跟随震荡,跟随震荡,2,0,0.041,0.329,0.308,2,1,0.588,0.183,13.043
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLRE,7.072,跟随震荡,,中性/混合,跟随震荡,1,0,0.061,0.222,1.0,2,1,0.489,0.194,13.951
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLU,8.741,跟随震荡,,中性/混合,跟随震荡,4,2,0.073,0.357,0.542,3,2,0.143,-0.289,13.82
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLV,7.079,中性/混合,,中性/混合,跟随震荡,7,6,0.062,0.456,0.69,3,2,0.875,0.686,14.272
S12,2018-01-22 00:00:00,2018-09-21 00:00:00,XLY,10.446,中性/混合,,中性/混合,中性/混合,9,8,0.087,0.626,0.465,3,2,0.884,0.689,14.314
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLB,2.406,中性/混合,,中性/混合,跟随震荡,7,2,0.023,0.569,0.401,3,3,0.8,0.695,16.33
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLC,1.577,高波动跟随,,高波动跟随,高波动跟随,4,0,0.014,0.403,0.271,3,3,0.826,0.634,17.61
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLE,-10.719,弱势独立下跌,稳健,弱势独立下跌,弱势独立下跌,1,0,0.091,0.499,0.553,3,3,0.705,0.595,19.506
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLF,3.474,高波动跟随,,高波动跟随,高波动跟随,1,0,0.033,0.421,0.475,4,3,0.865,0.768,16.53
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLI,1.614,中性/混合,,中性/混合,跟随震荡,2,0,0.016,0.415,0.504,4,3,0.872,0.775,16.436
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLK,7.01,高波动跟随,,高波动跟随,高波动跟随,3,1,0.056,0.275,0.414,3,2,0.933,0.879,18.835
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLP,7.418,跟随震荡,,跟随震荡,跟随震荡,0,0,0.093,0.093,,1,0,0.674,0.463,12.149
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLRE,10.761,中性/混合,,中性/混合,中性/混合,0,0,0.123,0.123,,1,0,0.448,0.271,13.262
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLU,11.163,中性/混合,,中性/混合,中性/混合,2,0,0.142,0.142,,1,0,0.242,-0.01,11.938
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLV,7.046,跟随震荡,,中性/混合,跟随震荡,4,0,0.083,0.37,0.161,2,1,0.778,0.635,13.468
S13,2019-04-30 00:00:00,2019-10-31 00:00:00,XLY,1.332,跟随震荡,,中性/混合,跟随震荡,12,4,0.014,0.305,0.438,3,2,0.934,0.872,14.734
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLB,7.976,跟随震荡,,中性/混合,跟随震荡,9,3,0.047,0.52,0.436,3,3,0.79,0.686,18.702
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLC,-24.871,高波动跟随,,高波动跟随,高波动跟随,3,0,0.142,0.564,0.448,4,4,0.846,0.789,23.352
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLE,64.655,强势独立上涨,稳健,强势独立上涨,强势独立上涨,19,4,0.207,0.659,0.653,6,5,0.356,-0.104,28.794
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLF,-8.239,中性/混合,,中性/混合,跟随震荡,3,0,0.047,0.538,0.557,4,4,0.764,0.651,21.214
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLI,-2.13,中性/混合,,中性/混合,跟随震荡,3,1,0.015,0.419,0.497,3,3,0.846,0.758,16.882
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLK,-6.859,高波动跟随,,高波动跟随,高波动跟随,10,7,0.028,0.585,0.466,5,5,0.933,0.895,26.25
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLP,12.793,强势独立上涨,稳健,强势独立上涨,强势独立上涨,10,6,0.112,0.527,0.261,2,2,0.544,0.373,13.318
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLRE,-1.418,跟随震荡,,中性/混合,跟随震荡,4,3,0.008,0.336,0.475,2,2,0.645,0.395,18.896
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLU,14.976,强势独立上涨,临界,中性/混合,强势独立上涨,7,3,0.108,0.434,0.304,2,2,0.371,0.239,15.371
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLV,3.885,跟随震荡,,跟随震荡,跟随震荡,5,3,0.028,0.342,0.326,2,2,0.706,0.538,15.43
S14,2021-09-30 00:00:00,2022-05-17 00:00:00,XLY,-14.598,高波动跟随,,高波动跟随,高波动跟随,11,8,0.06,0.628,0.611,5,5,0.837,0.687,26.669
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLB,-7.934,中性/混合,,中性/混合,跟随震荡,2,0,0.065,0.391,0.367,3,3,0.859,0.787,19.631
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLC,24.629,强势独立上涨,稳健,强势独立上涨,强势独立上涨,11,6,0.157,0.53,0.463,3,2,0.848,0.805,24.983
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLE,-14.895,弱势独立下跌,稳健,弱势独立下跌,弱势独立下跌,1,0,0.094,0.46,0.597,3,4,0.551,0.438,27.647
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLF,-11.056,中性/混合,,中性/混合,中性/混合,8,3,0.103,0.344,0.483,3,3,0.863,0.752,18.903
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLI,-3.542,跟随震荡,,中性/混合,跟随震荡,0,0,0.033,0.032,0.58,2,1,0.886,0.827,17.285
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLK,23.589,高波动跟随,,高波动跟随,高波动跟随,2,0,0.153,0.345,0.479,3,2,0.932,0.837,23.788
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLP,-3.55,跟随震荡,,跟随震荡,跟随震荡,4,4,0.049,0.478,0.386,2,2,0.707,0.531,11.993
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLRE,-5.39,中性/混合,,跟随震荡,跟随震荡,0,0,0.04,0.316,0.447,3,3,0.805,0.717,22.904
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLU,-7.043,跟随震荡,,跟随震荡,跟随震荡,4,1,0.068,0.259,0.343,2,2,0.653,0.372,18.002
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLV,-6.046,跟随震荡,,跟随震荡,跟随震荡,3,1,0.074,0.383,0.31,2,2,0.786,0.647,12.981
S15,2022-11-25 00:00:00,2023-05-31 00:00:00,XLY,6.913,高波动跟随,,高波动跟随,高波动跟随,3,1,0.049,0.459,0.556,3,2,0.879,0.833,23.451
S16,2025-10-09 00:00:00,2026-04-15 00:00:00,XLB,17.007,中性/混合,临界,中性/混合,强势独立上涨,6,3,0.138,0.377,0.484,3,2,0.567,0.465,17.225
S16,2025-10-09 00:00:00,2026-04-15 00:00:00,XLC,2.781,中性/混合,,中性/混合,跟随震荡,2,1,0.031,0.488,0.437,3,2,0.658,0.487,13.075
S16,2025-10-09 00:00:00,2026-04-15 00:00:00,XLE,28.994,强势独立上涨,临界,中性/混合,强势独立上涨,6,2,0.183,0.312,0.857,2,2,0.171,-0.239,19.966
S16,2025-10-09 00:00:00,2026-04-15 00:00:00,XLF,-1.31,跟随震荡,,中性/混合,跟随震荡,4,0,0.013,0.47,0.322,2,1,0.627,0.52,15.661
S16,2025-10-09 00:00:00,2026-04-15 00:00:00,XLI,12.368,中性/混合,,中性/混合,中性/混合,1,1,0.106,0.39,0.56,3,2,0.753,0.687,15.846
