sector,ticker,pair,date,t,entry,entry_reason,days_into_window,etf_depth_pct,ema_state,support_level,support_band_lo,support_band_hi,support_age,support_touches,n_levels,lower_shadow,stk_vol_ratio,stk_ret_day,rs5,vix,spy_above_ma100,etf_t_index,fwd1,fwd5,fwd10,fwd20,support_broken_day,cls
XLE,CVX,XLE/CVX,2006-09-12,2945,28.394,连续3日低于EMA20,2,-6.8,EMA10<EMA20,27.847,27.387,28.307,246,分形支撑(3触),1,0.32,1.36,-0.98,1.78,11.9,True,1941,1.63,0.81,3.58,4.09,,V型反转
XLE,CVX,XLE/CVX,2007-03-01,3061,31.726,死叉,1,-1.73,EMA10<EMA20,30.337,29.858,30.816,126,分形支撑(2触),1,0.66,1.43,-1.34,-1.3,15.8,False,2057,-1.2,1.27,1.88,10.87,,V型反转
XLE,CVX,XLE/CVX,2007-08-06,3170,38.772,死叉,5,-4.96,EMA10<EMA20,37.55,37.036,38.064,47,分形支撑(2触),2,0.76,1.31,1.23,-0.54,22.9,False,2166,1.41,0.52,4.23,8.95,,V型反转
XLE,CVX,XLE/CVX,2008-01-18,3285,39.999,连续3日低于EMA20,8,-8.14,EMA10<EMA20,38.176,37.402,38.951,144,分形支撑(1触),1,0.46,1.7,0.86,0.91,27.2,False,2281,-2.65,-0.72,-1.73,2.37,,横盘消化
XLE,CVX,XLE/CVX,2008-01-22,3286,38.94,连续3日低于EMA20,9,-9.82,EMA10<EMA20,37.27,36.494,38.047,173,分形支撑(6触),1,0.25,1.77,-2.65,2.54,31.0,False,2282,0.25,1.66,-1.86,7.03,,死猫反弹
XLE,CVX,XLE/CVX,2008-02-06,3297,37.148,连续3日低于EMA20,20,-5.12,EMA10<EMA20,37.177,36.366,37.988,184,分形支撑(7触),1,0.08,1.07,-2.8,-3.1,29.0,False,2293,1.59,6.71,10.17,14.09,,V型反转
XLE,CVX,XLE/CVX,2008-07-11,3405,44.829,死叉,4,-3.49,EMA10<EMA20,44.038,43.353,44.723,50,分形支撑(1触),1,0.25,1.26,-4.16,-2.82,27.5,False,2401,0.6,-6.72,-10.5,-8.51,3.0,支撑击穿
XLE,CVX,XLE/CVX,2008-07-15,3407,43.453,死叉,6,-6.1,EMA10<EMA20,43.012,42.324,43.699,247,分形支撑(6触),1,0.08,1.07,-3.64,-3.54,28.5,False,2403,-3.39,-4.24,-7.36,-6.55,1.0,支撑击穿
XLE,CVX,XLE/CVX,2008-07-17,3409,41.631,死叉,8,-8.47,EMA10<EMA20,40.953,40.253,41.652,212,分形支撑(5触),1,0.61,1.35,-0.83,-2.83,25.0,False,2405,0.44,-4.28,-1.3,1.06,4.0,支撑击穿
XLE,CVX,XLE/CVX,2008-07-23,3413,40.163,死叉,12,-8.4,EMA10<EMA20,39.364,38.574,40.154,170,分形支撑(3触),1,0.09,1.2,-3.48,-0.36,21.3,False,2409,-0.79,5.58,2.31,5.4,,V型反转
XLE,CVX,XLE/CVX,2008-09-04,3443,39.767,死叉,2,-6.04,EMA10<EMA20,39.393,38.484,40.303,200,分形支撑(5触),1,0.11,1.4,-3.52,3.77,24.0,False,2439,-1.23,1.95,2.04,-2.04,,死猫反弹
XLE,CVX,XLE/CVX,2008-10-06,3465,37.623,连续3日低于EMA20,4,-14.7,EMA10<EMA20,36.642,35.688,37.597,175,分形支撑(2触),1,0.81,1.42,-3.2,7.13,52.0,False,2461,-4.54,-9.04,-9.41,-4.1,3.0,支撑击穿
XLE,CVX,XLE/CVX,2009-02-13,3555,34.754,连续3日低于EMA20,1,-1.12,EMA10<EMA20,31.998,30.722,33.275,59,分形支撑(2触),1,0.87,0.74,-0.19,-1.03,42.9,False,2551,-5.09,-9.74,-17.37,-9.74,9.0,支撑击穿
XLE,CVX,XLE/CVX,2009-03-05,3568,28.14,连续3日低于EMA20,14,-9.72,EMA10<EMA20,27.203,26.078,28.329,96,分形支撑(2触),1,0.16,1.27,-4.76,-1.65,50.2,False,2564,3.21,12.29,18.9,24.53,,V型反转
XLE,CVX,XLE/CVX,2009-07-06,3652,32.277,连续3日低于EMA20,11,-5.92,EMA10<EMA20,31.549,30.86,32.238,151,分形支撑(5触),1,0.65,0.86,-0.43,1.85,29.0,True,2648,-2.25,-2.65,2.34,9.76,,横盘消化
XLE,CVX,XLE/CVX,2010-02-05,3801,36.497,死叉,9,-4.22,EMA10<EMA20,35.574,35.044,36.103,97,分形支撑(2触),1,0.86,1.46,-0.27,-0.83,26.1,False,2797,-1.48,0.72,3.48,5.86,,V型反转
XLE,CVX,XLE/CVX,2010-05-06,3863,39.962,死叉,0,-5.61,EMA10<EMA20,38.138,37.678,38.599,129,分形支撑(4触),2,0.65,1.83,-3.73,1.4,32.8,False,2859,-0.13,2.23,-3.77,-6.81,,死猫反弹
XLE,CVX,XLE/CVX,2010-05-20,3873,38.455,死叉,10,-8.37,EMA10<EMA20,38.138,37.678,38.599,139,分形支撑(4触),1,0.04,1.31,-3.92,3.23,45.8,False,2869,1.2,1.03,-3.15,2.61,4.0,支撑击穿
XLE,CVX,XLE/CVX,2010-05-25,3876,37.916,死叉,13,-6.71,EMA10<EMA20,36.813,36.353,37.274,77,分形支撑(3触),1,0.5,1.54,-1.18,0.32,34.6,False,2872,-1.41,2.15,-2.45,-0.43,,死猫反弹
XLE,CVX,XLE/CVX,2010-06-04,3883,37.242,死叉,20,-4.64,EMA10<EMA20,36.858,36.397,37.319,84,分形支撑(4触),1,0.25,1.22,-3.56,0.52,35.5,False,2879,0.1,3.9,5.95,-5.57,,死猫反弹
XLE,CVX,XLE/CVX,2010-06-24,3897,37.007,死叉,0,-2.9,EMA10<EMA20,36.782,36.07,37.494,98,分形支撑(5触),1,0.09,1.07,-1.98,-0.66,29.7,False,2893,-1.09,-4.73,1.43,3.8,3.0,支撑击穿
XLE,CVX,XLE/CVX,2010-06-29,3900,35.717,死叉,3,-5.96,EMA10<EMA20,35.603,34.891,36.315,196,分形支撑(3触),1,0.26,1.22,-2.29,-0.57,34.1,False,2896,-0.73,1.59,6.86,10.53,,V型反转
XLE,CVX,XLE/CVX,2010-07-01,3902,35.257,死叉,5,-5.86,EMA10<EMA20,34.519,33.807,35.231,204,分形支撑(2触),1,0.44,1.22,-0.56,0.7,32.9,False,2898,-0.25,6.46,5.96,12.94,,V型反转
XLE,CVX,XLE/CVX,2011-06-13,4141,53.424,连续3日低于EMA20,6,-3.27,EMA10<EMA20,52.302,51.48,53.124,61,分形支撑(1触),1,0.35,1.06,-0.74,1.14,19.6,False,3137,1.69,0.99,-0.03,5.52,,死猫反弹
XLE,CVX,XLE/CVX,2011-08-04,4178,52.296,连续3日低于EMA20,2,-9.09,EMA10<EMA20,52.483,51.648,53.318,98,分形支撑(3触),1,0.07,2.46,-5.76,3.2,31.7,False,3174,0.8,-2.86,-2.95,2.55,2.0,支撑击穿
XLE,CVX,XLE/CVX,2011-08-05,4179,52.712,连续3日低于EMA20,3,-9.11,EMA10<EMA20,50.901,50.065,51.737,120,分形支撑(1触),1,0.69,1.98,0.8,4.8,32.0,False,3175,-7.54,-1.79,-3.66,-0.44,1.0,支撑击穿
